E07000152,East Northamptonshire,East Midlands,E12000004,184,184,0,0,0,0,,75,75,0,0,0
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E12000003,374,349,55,35,20,0,,183,182,16,14,2
E07000193,East Staffordshire,West Midlands,E12000005,198,75,122,118,3,1,,92,58,43,42,1
E07000061,Eastbourne,South East,E12000008,411,107,61,56,5,0,,421,168,30,26,4
E07000086,Eastleigh,South East,E12000008,226,221,0,0,0,0,,83,85,0,0,0
E07000030,Eden,North West,E12000002,131,127,5,4,0,1,,42,41,0,0,0
E07000207,Elmbridge,South East,E12000008,129,123,4,3,0,1,,113,108,2,1,1
E09000010,Enfield,London,E12000007,"1,914","1,039","1,087","1,014",61,12,,866,527,534,494,40
E07000072,Epping Forest,East of England,E12000006,189,176,12,8,2,2,,142,132,8,4,4
E07000208,Epsom & Ewell,South East,E12000008,63,67,5,1,3,1,,104,99,12,11,1
E07000036,Erewash,East Midlands,E12000004,143,117,34,33,1,0,,164,126,42,41,1
E07000041,Exeter,South West,E12000009,612,559,63,55,5,3,,470,363,109,66,43
E07000087,Fareham,South East,E12000008,150,144,8,7,1,0,,143,127,11,7,4
E07000010,Fenland,East of England,E12000006,370,367,4,3,1,0,,261,258,1,1,0
E07000112,Folkestone & Hythe,South East,E12000008,247,233,14,9,3,2,,237,214,24,16,8
E07000201,Forest Heath,East of England,E12000006,269,210,59,46,13,0,,168,118,50,49,1
E07000080,Forest of Dean,South West,E12000009,207,202,4,4,0,0,,49,49,0,0,0
E07000119,Fylde,North West,E12000002,95,87,7,5,2,0,,118,99,15,15,0
E08000037,Gateshead,North East,E12000001,854,807,51,36,13,2,,657,528,127,127,0
E07000173,Gedling,East Midlands,E12000004,223,214,11,8,2,1,,137,128,9,6,3
E07000081,Gloucester,South West,E12000009,554,539,18,13,3,2,,755,740,13,11,2
E07000088,Gosport,South East,E12000008,360,339,19,18,0,1,,155,142,9,7,2
E07000109,Gravesham,South East,E12000008,344,330,10,6,4,0,,242,236,6,3,3
E07000145,Great Yarmouth,East of England,E12000006,541,520,15,15,0,0,,413,399,15,12,3
E09000011,Greenwich,London,E12000007,844,415,432,264,57,111,,636,264,406,172,234
E07000209,Guildford,South East,E12000008,323,319,5,5,0,0,,202,191,11,11,0
E09000012,Hackney,London,E12000007,929,836,121,69,24,28,,"1,286","1,064",212,124,88
E06000006,Halton,North West,E12000002,...,28,0,0,0,0,,...,47,5,2,3
E07000164,Hambleton,Yorkshire and The Humber,E12000003,105,109,2,1,1,0,,103,104,6,3,3
E09000013,Hammersmith & Fulham,London,E12000007,491,426,41,28,9,4,,611,536,55,29,26
E07000131,Harborough,East Midlands,E12000004,66,54,16,12,4,0,,49,38,8,3,5
E09000014,Haringey,London,E12000007,"1,889","1,677",224,78,9,137,,705,532,159,26,133
E07000073,Harlow,East of England,E12000006,253,144,134,97,29,8,,192,128,100,88,12
E07000165,Harrogate,Yorkshire and The Humber,E12000003,428,320,109,87,19,3,,284,223,61,52,9
E09000015,Harrow,London,E12000007,681,640,41,31,8,2,,287,274,11,9,2
E07000089,Hart,South East,E12000008,112,87,25,18,5,2,,97,93,4,4,0
E06000001,Hartlepool,North East,E12000001,140,137,5,3,2,0,,131,121,8,8,0
E07000062,Hastings,South East,E12000008,500,442,67,40,10,17,,540,429,109,51,58
E07000090,Havant,South East,E12000008,426,367,72,66,6,0,,84,73,13,12,1
E09000016,Havering,London,E12000007,"1,612","1,473",143,123,13,7,,406,353,45,42,3
E06000019,Herefordshire,West Midlands,E12000005,548,518,15,13,2,0,,293,276,13,13,0
E07000098,Hertsmere,East of England,E12000006,160,129,35,33,2,0,,191,160,38,35,3
E07000037,High Peak,East Midlands,E12000004,275,271,3,3,0,0,,157,155,3,2,1
E09000017,Hillingdon,London,E12000007,"1,296","1,022",289,271,7,11,,319,238,31,25,6
E07000132,Hinckley & Bosworth,East Midlands,E12000004,237,241,4,3,0,1,,242,209,37,7,30
E07000227,Horsham,South East,E12000008,232,235,5,4,1,0,,208,177,21,18,3
E09000018,Hounslow,London,E12000007,796,471,361,206,37,118,,281,119,170,77,93
E07000011,Huntingdonshire,East of England,E12000006,589,571,20,19,0,1,,372,362,10,9,1
E07000120,Hyndburn,North West,E12000002,169,147,22,20,2,0,,69,67,3,3,0
E07000202,Ipswich,East of England,E12000006,684,591,107,104,3,0,,459,350,101,87,14
E06000046,Isle of Wight,South East,E12000008,288,265,0,0,0,0,,241,240,1,1,0
E06000053,Isles of Scilly,South West,E12000009,0,0,0,0,0,0,,0,0,0,0,0
E09000019,Islington,London,E12000007,884,278,523,506,17,0,,323,64,321,319,2
E09000020,Kensington & Chelsea,London,E12000007,229,205,33,23,5,5,,844,865,128,81,47
E07000153,Kettering,East Midlands,E12000004,219,210,12,9,1,2,,347,320,26,17,9
E07000146,King's Lynn & West Norfolk,East of England,E12000006,85,79,7,4,3,0,,325,278,45,31,14
E06000010,Kingston upon Hull,Yorkshire and The Humber,E12000003,849,688,158,137,9,12,,"1,565","1,186",421,126,295
E09000021,Kingston upon Thames,London,E12000007,151,9,149,133,16,0,,178,10,181,181,0
E08000034,Kirklees,Yorkshire and The Humber,E12000003,"1,643","1,625",17,14,3,0,,509,505,3,3,0
E08000011,Knowsley,North West,E12000002,708,700,8,6,2,0,,323,313,7,7,0
E09000022,Lambeth,London,E12000007,"1,148",632,487,476,5,6,,"1,092",579,607,509,98
E07000121,Lancaster,North West,E12000002,269,216,50,45,5,0,,371,338,33,28,5
E08000035,Leeds,Yorkshire and The Humber,E12000003,"3,952","3,888",46,44,1,1,,"1,316","1,287",39,39,0
E06000016,Leicester,East Midlands,E12000004,"1,670","1,633",42,34,8,0,,891,835,53,34,19
E07000063,Lewes,South East,E12000008,135,47,19,19,0,0,,145,63,10,10,0
E09000023,Lewisham,London,E12000007,"1,443","1,253",209,173,21,15,,"1,006",900,120,85,35
E07000194,Lichfield,West Midlands,E12000005,122,94,28,17,10,1,,109,83,26,21,5
E07000138,Lincoln,East Midlands,E12000004,420,412,9,9,0,0,,359,348,10,10,0
E08000012,Liverpool,North West,E12000002,"1,176","1,142",31,22,9,0,,973,954,15,14,1
E06000032,Luton,East of England,E12000006,...,337,62,36,18,8,,...,350,176,69,107
E07000110,Maidstone,South East,E12000008,499,479,13,10,3,0,,402,388,6,5,1
E07000074,Maldon,East of England,E12000006,38,39,3,3,0,0,,47,42,4,3,1
E07000235,Malvern Hills,West Midlands,E12000005,121,119,2,1,1,0,,132,123,7,5,2
E08000003,Manchester,North West,E12000002,"1,417","1,333",101,92,7,2,,"2,821","2,572",250,210,40
E07000174,Mansfield,East Midlands,E12000004,195,193,2,2,0,0,,288,277,6,6,0
E06000035,Medway Towns,South East,E12000008,977,948,35,27,5,3,,814,782,28,11,17
E07000133,Melton,East Midlands,E12000004,148,76,73,65,8,0,,62,39,23,21,2
E07000187,Mendip,South West,E12000009,553,539,12,12,0,0,,159,149,10,4,6
E09000024,Merton,London,E12000007,618,345,296,276,16,4,,189,133,62,52,10
E07000042,Mid Devon,South West,E12000009,175,166,6,4,2,0,,152,142,13,11,2
E07000203,Mid Suffolk,East of England,E12000006,189,183,5,5,0,0,,75,69,6,6,0
E07000228,Mid Sussex,South East,E12000008,255,243,12,11,1,0,,198,192,7,1,6
E06000002,Middlesbrough,North East,E12000001,504,497,9,9,0,0,,372,366,4,4,0
E06000042,Milton Keynes,South East,E12000008,"1,320",928,418,317,34,67,,808,265,546,487,59
E07000210,Mole Valley,South East,E12000008,191,180,1,1,0,0,,108,101,0,0,0
E07000091,New Forest,South East,E12000008,576,562,11,9,1,1,,220,213,5,2,3
E07000175,Newark & Sherwood,East Midlands,E12000004,159,158,1,0,1,0,,261,256,5,3,2
E08000021,Newcastle upon Tyne,North East,E12000001,743,479,239,225,14,0,,"1,416","1,025",422,407,15
E07000195,Newcastle-under-Lyme,West Midlands,E12000005,226,223,3,3,0,0,,165,162,2,2,0
E09000025,Newham,London,E12000007,"1,045",169,790,780,9,1,,868,121,738,722,16
E07000043,North Devon,South West,E12000009,694,690,9,7,2,0,,378,370,6,3,3
E07000050,North Dorset,South West,E12000009,102,81,23,18,5,0,,117,97,17,16,1
E07000038,North East Derbyshire,East Midlands,E12000004,203,174,29,29,0,0,,48,43,4,3,1
E06000012,North East Lincolnshire,Yorkshire and The Humber,E12000003,462,454,3,3,0,0,,629,625,3,2,1
E07000099,North Hertfordshire,East of England,E12000006,264,246,17,15,1,1,,253,240,13,8,5
E07000139,North Kesteven,East Midlands,E12000004,235,198,34,34,0,0,,193,178,13,12,1
E06000013,North Lincolnshire,Yorkshire and The Humber,E12000003,254,205,46,46,0,0,,175,173,1,1,0
E07000147,North Norfolk,East of England,E12000006,279,273,6,4,2,0,,142,141,2,2,0
E06000024,North Somerset,South West,E12000009,727,710,18,13,0,5,,380,368,9,5,4
E08000022,North Tyneside,North East,E12000001,364,360,4,4,0,0,,274,264,9,4,5
E07000218,North Warwickshire,West Midlands,E12000005,163,78,83,71,12,0,,32,22,13,13,0
E07000134,North West Leicestershire,East Midlands,E12000004,174,141,33,33,0,0,,153,124,27,23,4
E07000154,Northampton,East Midlands,E12000004,...,476,184,93,29,62,,...,389,148,65,83
E06000057,Northumberland,North East,E12000001,361,351,15,14,1,0,,294,288,10,8,2
E07000148,Norwich,East of England,E12000006,907,773,148,138,9,1,,444,323,131,131,0
E06000018,Nottingham,East Midlands,E12000004,"1,414","1,188",266,187,69,10,,966,788,137,107,30
E07000219,Nuneaton & Bedworth,West Midlands,E12000005,258,256,1,1,0,0,,606,605,1,1,0
E07000135,Oadby & Wigston,East Midlands,E12000004,98,64,35,31,3,1,,98,69,29,28,1
E08000004,Oldham,North West,E12000002,571,555,24,22,2,0,,548,506,36,17,19
E07000178,Oxford,South East,E12000008,415,332,85,82,3,0,,250,201,44,40,4
E07000122,Pendle,North West,E12000002,174,168,3,2,1,0,,166,155,11,6,5
E06000031,Peterborough,East of England,E12000006,444,345,104,47,34,23,,660,450,190,138,52
E06000026,Plymouth,South West,E12000009,467,429,52,32,14,6,,609,550,42,25,17
E06000029,Poole,South West,E12000009,359,259,99,76,23,0,,302,198,103,102,1
E06000044,Portsmouth,South East,E12000008,533,357,128,114,12,2,,770,539,162,152,10
E07000123,Preston,North West,E12000002,406,436,7,6,1,0,,493,504,4,4,0
E07000051,Purbeck,South West,E12000009,129,98,32,27,4,1,,56,43,12,11,1
E06000038,Reading,South East,E12000008,487,472,26,13,10,3,,452,442,32,8,24
E09000026,Redbridge,London,E12000007,...,299,309,247,49,13,,...,168,74,55,19
E06000003,Redcar & Cleveland,North East,E12000001,148,146,4,4,0,0,,182,164,14,9,5
E07000236,Redditch,West Midlands,E12000005,148,148,8,6,2,0,,178,158,10,7,3
E07000211,Reigate & Banstead,South East,E12000008,358,353,2,2,0,0,,150,147,2,1,1
E07000124,Ribble Valley,North West,E12000002,32,29,3,3,0,0,,36,33,3,3,0
E09000027,Richmond upon Thames,London,E12000007,...,24,117,109,7,1,,...,20,98,94,4
E07000166,Richmondshire,Yorkshire and The Humber,E12000003,107,106,1,1,0,0,,93,88,3,2,1
E08000005,Rochdale,North West,E12000002,597,596,4,4,0,0,,641,636,3,2,1
E07000075,Rochford,East of England,E12000006,187,185,4,2,1,1,,95,89,4,2,2
E07000125,Rossendale,North West,E12000002,385,375,5,5,0,0,,94,94,0,0,0
E07000064,Rother,South East,E12000008,138,139,1,1,0,0,,262,249,8,3,5
E08000018,Rotherham,Yorkshire and The Humber,E12000003,702,692,13,9,3,1,,865,857,8,8,0
E07000220,Rugby,West Midlands,E12000005,153,155,6,3,1,2,,258,229,25,12,13
E07000212,Runnymede,South East,E12000008,170,163,9,7,2,0,,122,118,4,3,1
E07000176,Rushcliffe,East Midlands,E12000004,261,282,1,0,1,0,,63,62,1,0,1
E07000092,Rushmoor,South East,E12000008,303,245,60,28,31,1,,258,250,7,7,0
E06000017,Rutland,East Midlands,E12000004,26,26,3,1,2,0,,16,16,0,0,0
E07000167,Ryedale,Yorkshire and The Humber,E12000003,156,159,3,3,0,0,,35,30,3,3,0
E08000006,Salford,North West,E12000002,549,551,12,11,1,0,,"1,899","1,896",26,22,4
E08000028,Sandwell,West Midlands,E12000005,487,376,120,92,24,4,,346,222,122,108,14
E07000168,Scarborough,Yorkshire and The Humber,E12000003,465,463,7,3,2,2,,300,277,12,10,2
E07000188,Sedgemoor,South West,E12000009,391,387,3,3,0,0,,231,230,1,1,0
E08000014,Sefton,North West,E12000002,395,388,11,10,1,0,,199,190,5,5,0
E07000169,Selby,Yorkshire and The Humber,E12000003,180,180,5,4,1,0,,99,101,0,0,0
E07000111,Sevenoaks,South East,E12000008,360,343,16,15,1,0,,161,150,10,8,2
E08000019,Sheffield,Yorkshire and The Humber,E12000003,885,683,142,129,5,8,,"1,973","1,683",361,291,70
E06000051,Shropshire,West Midlands,E12000005,444,443,4,3,1,0,,582,578,7,7,0
E06000039,Slough,South East,E12000008,298,278,98,48,23,27,,257,170,89,46,43
E08000029,Solihull,West Midlands,E12000005,358,353,19,4,3,12,,699,645,42,21,21
E07000006,South Bucks,South East,E12000008,39,34,5,4,1,0,,61,60,3,3,0
E07000012,South Cambridgeshire,East of England,E12000006,339,331,7,5,2,0,,164,160,2,1,1
E07000039,South Derbyshire,East Midlands,E12000004,...,146,27,23,4,0,,...,91,13,12,1
E06000025,South Gloucestershire,South West,E12000009,702,690,4,4,0,0,,239,235,3,3,0
E07000044,South Hams,South West,E12000009,414,379,4,3,1,0,,61,56,2,2,0
E07000140,South Holland,East Midlands,E12000004,133,141,7,4,3,0,,193,180,23,11,12
E07000141,South Kesteven,East Midlands,E12000004,483,434,48,44,4,0,,365,326,35,32,3
E07000031,South Lakeland,North West,E12000002,115,98,17,16,1,0,,147,142,5,5,0
E07000149,South Norfolk,East of England,E12000006,167,166,0,0,0,0,,127,119,0,0,0
E07000155,South Northamptonshire,East Midlands,E12000004,128,129,7,6,0,1,,66,55,4,4,0
E07000179,South Oxfordshire,South East,E12000008,219,219,0,0,0,0,,57,57,0,0,0
E07000126,South Ribble,North West,E12000002,459,459,3,2,1,0,,165,163,2,2,0
E07000189,South Somerset,South West,E12000009,268,273,2,1,1,0,,158,154,2,1,1
E07000196,South Staffordshire,West Midlands,E12000005,91,91,0,0,0,0,,31,30,2,1,1
E08000023,South Tyneside,North East,E12000001,833,826,3,3,0,0,,213,208,3,3,0
E06000045,Southampton,South East,E12000008,644,386,260,236,21,3,,482,310,170,161,9
E06000033,Southend-on-Sea,East of England,E12000006,449,422,23,20,3,0,,447,437,15,15,0
E09000028,Southwark,London,E12000007,"1,669","1,292",333,295,34,4,,"1,591","1,017",644,540,104
E07000213,Spelthorne,South East,E12000008,349,335,13,9,2,2,,152,147,2,2,0
E07000240,St Albans,East of England,E12000006,285,228,68,54,11,3,,239,209,48,37,11
E07000204,St Edmundsbury,East of England,E12000006,380,287,91,76,15,0,,299,210,90,84,6
E08000013,St Helens,North West,E12000002,454,456,4,3,1,0,,270,257,7,3,4
E07000197,Stafford,West Midlands,E12000005,209,187,22,22,0,0,,254,242,14,13,1
E07000198,Staffordshire Moorlands,West Midlands,E12000005,186,182,3,3,0,0,,104,105,1,1,0
E07000243,Stevenage,East of England,E12000006,...,118,6,1,3,2,,...,85,7,3,4
E08000007,Stockport,North West,E12000002,542,521,12,9,0,3,,397,379,16,6,10
E06000004,Stockton-on-Tees,North East,E12000001,"1,182","1,022",180,180,0,0,,695,593,73,63,10
E06000021,Stoke-on-Trent,West Midlands,E12000005,956,726,240,238,2,0,,853,606,256,230,26
E07000221,Stratford-on-Avon,West Midlands,E12000005,272,266,5,5,0,0,,222,217,4,4,0
E07000082,Stroud,South West,E12000009,245,242,9,8,1,0,,150,141,10,7,3
E07000205,Suffolk Coastal,East of England,E12000006,213,154,60,52,8,0,,125,95,29,28,1
E08000024,Sunderland,North East,E12000001,434,376,41,40,0,1,,"1,017",937,87,72,15
E07000214,Surrey Heath,South East,E12000008,178,179,1,0,1,0,,149,139,9,0,9
E09000029,Sutton,London,E12000007,342,326,13,11,2,0,,458,456,6,4,2
E07000113,Swale,South East,E12000008,303,294,9,6,3,0,,377,358,16,0,16
E06000030,Swindon,South West,E12000009,135,70,66,59,7,0,,322,203,110,105,5
E08000008,Tameside,North West,E12000002,770,749,23,16,5,2,,660,625,32,7,25
E07000199,Tamworth,West Midlands,E12000005,142,146,2,2,0,0,,166,157,5,2,3
E07000215,Tandridge,South East,E12000008,165,166,0,0,0,0,,77,77,0,0,0
E07000190,Taunton Deane,South West,E12000009,221,148,79,60,15,4,,312,224,80,70,10
E07000045,Teignbridge,South West,E12000009,583,534,48,43,3,2,,120,109,12,5,7
E06000020,Telford & Wrekin,West Midlands,E12000005,193,189,4,2,1,1,,205,192,9,6,3
E07000076,Tendring,East of England,E12000006,255,262,4,1,1,2,,413,398,5,3,2
E07000093,Test Valley,South East,E12000008,393,365,23,22,1,0,,177,172,8,8,0
E07000083,Tewkesbury,South West,E12000009,186,181,5,5,0,0,,160,157,3,1,2
E07000114,Thanet,South East,E12000008,775,748,30,25,5,0,,540,520,22,15,7
E07000102,Three Rivers,East of England,E12000006,151,154,14,8,6,0,,81,71,13,5,8
E06000034,Thurrock,East of England,E12000006,551,503,69,22,28,19,,376,292,59,30,29
E07000115,Tonbridge & Malling,South East,E12000008,174,167,9,7,1,1,,184,173,10,6,4
E06000027,Torbay,South West,E12000009,...,108,0,0,0,0,,...,229,1,0,1
E07000046,Torridge,South West,E12000009,242,243,2,1,0,1,,188,182,3,3,0
E09000030,Tower Hamlets,London,E12000007,"1,370",376,923,752,153,18,,989,345,686,642,44
E08000009,Trafford,North West,E12000002,576,551,23,10,12,1,,374,353,20,19,1
E07000116,Tunbridge Wells,South East,E12000008,288,278,10,10,0,0,,229,225,5,4,1
E07000077,Uttlesford,East of England,E12000006,75,71,1,1,0,0,,89,91,0,0,0
E07000180,Vale of White Horse,South East,E12000008,204,200,2,2,0,0,,58,56,3,3,0
E08000036,Wakefield,Yorkshire and The Humber,E12000003,"1,084",846,267,224,37,6,,537,420,129,117,12
E08000030,Walsall,West Midlands,E12000005,516,524,1,1,0,0,,557,554,6,5,1
E09000031,Waltham Forest,London,E12000007,947,681,275,175,11,89,,587,401,168,27,141
E09000032,Wandsworth,London,E12000007,...,66,257,242,15,0,,...,43,153,148,5
E06000007,Warrington,North West,E12000002,690,684,5,5,0,0,,702,696,6,3,3
E07000222,Warwick,West Midlands,E12000005,245,226,1,1,0,0,,165,162,2,1,1
E07000103,Watford,East of England,E12000006,77,40,37,32,2,3,,135,86,50,46,4
E07000206,Waveney,East of England,E12000006,705,567,135,105,29,1,,394,306,89,85,4
E07000216,Waverley,South East,E12000008,168,154,15,15,0,0,,69,59,9,9,0
E07000065,Wealden,South East,E12000008,234,226,7,5,2,0,,202,192,9,7,2
E07000156,Wellingborough,East Midlands,E12000004,178,178,15,7,4,4,,209,190,11,5,6
E07000241,Welwyn Hatfield,East of England,E12000006,580,530,29,23,5,1,,268,267,3,3,0
E06000037,West Berkshire,South East,E12000008,291,280,6,5,1,0,,282,279,4,4,0
E07000047,West Devon,South West,E12000009,286,254,0,0,0,0,,42,36,5,5,0
E07000052,West Dorset,South West,E12000009,151,104,45,34,11,0,,148,110,36,34,2
E07000127,West Lancashire,North West,E12000002,49,42,1,0,1,0,,97,96,1,1,0
E07000142,West Lindsey,East Midlands,E12000004,202,158,40,39,0,1,,175,151,21,21,0
E07000181,West Oxfordshire,South East,E12000008,173,162,11,11,0,0,,133,131,2,0,2
E07000191,West Somerset,South West,E12000009,59,30,29,26,3,0,,43,26,17,16,1
E09000033,Westminster,London,E12000007,443,292,134,112,6,16,,"1,060",621,463,331,132
E07000053,Weymouth & Portland,South West,E12000009,286,191,90,62,28,0,,250,205,46,44,2
E08000010,Wigan,North West,E12000002,882,398,344,341,3,0,,684,66,536,536,0
E06000054,Wiltshire,South West,E12000009,"1,119","1,098",5,4,1,0,,502,483,9,8,1
E07000094,Winchester,South East,E12000008,170,172,7,2,4,1,,124,99,19,7,12
E06000040,Windsor & Maidenhead,South East,E12000008,170,157,28,12,7,9,,93,88,14,11,3
E08000015,Wirral,North West,E12000002,428,404,15,12,1,2,,557,545,8,8,0
E07000217,Woking,South East,E12000008,159,12,187,186,1,0,,41,4,59,58,1
E06000041,Wokingham,South East,E12000008,127,123,2,1,0,1,,96,98,0,0,0
E08000031,Wolverhampton,West Midlands,E12000005,"1,029",575,451,432,14,5,,625,381,235,209,26
E07000237,Worcester,West Midlands,E12000005,325,346,9,7,2,0,,485,496,21,17,4
E07000229,Worthing,South East,E12000008,246,226,23,20,2,1,,182,156,35,31,4
E07000238,Wychavon,West Midlands,E12000005,221,208,12,7,4,1,,274,256,18,13,5
E07000007,Wycombe,South East,E12000008,432,411,17,16,1,0,,156,144,11,6,5
E07000128,Wyre,North West,E12000002,405,411,8,8,0,0,,40,39,1,1,0
E07000239,Wyre Forest,West Midlands,E12000005,251,246,3,3,0,0,,223,219,1,1,0
E06000014,York,Yorkshire and The Humber,E12000003,522,525,3,3,0,0,,245,222,16,13,3

Notes:,,,,,,,,,,,,,,,
 1,"Prevention and relief duties owed following initial assessment between April 2018 and March 2019, as reported in Table A1. National and regional totals include imputed estimates where local authorities failed to provide accurate data for one or more quarters.",,,,,,,,,,,,,,
 2,Only includes cases that have routed to completion - or a main duty decision if applicable - by March 2020.,,,,,,,,,,,,,,
 3,"The combination of cases included and excluded from the flows does not quite match the reported total for two reasons: a) Initial assessment totals from table A1 include imputed estimates for missing data, b) The flows concern the latest data on each case, and therefore include some changes as a result of reviews or quality improvements.",,,,,,,,,,,,,,

…,incomplete or missing data in one or more quarters,,,,,,,,,,,,,,
,Total figures are presented rounded to the nearest 10 households.,,,,,,,,,,,,,,
,Totals may not equal the sum of components because of rounding.,,,,,,,,,,,,,,

Source,,,,,,,,,,,,,,,
,MHCLG H-CLIC Homelessness returns (quarterly),,,,,,,,,,,,,,
,Email: homelessnessstats@communities.gov.uk,,,,,,,,,,,,,,
,Latest update: October 2020,,,,,,,,,,,,,,





